店名,英文名,區域,主打品項,分組
설빙,Sulbing,전국,빙수,長青
어니언,Cafe Onion,안국,베이커리,長青
오설록 티하우스,Osulloc Tea House,북촌,녹차디저트,長青
수연산방,Suyeonsanbang,성북동,전통차·단팥,長青
밀토스트,Mil Toast,익선동,증편토스트,長青
청수당,Cheongsudang,익선동,쌀수플레,長青
소복,Sobok,전국,곡물아이스크림,長青
서울커피,Seoul Coffee,익선동,버터식빵·아이스크림,長青
동빙고,Dongbinggo,이촌동,팥빙수,長青
다모토리,Damotori,전국,막걸리·한식소점,長青
전통찻집 인사동,Traditional Teahouse,인사동,전통차·다과,長青
광장시장 꽈배기,Gwangjang Kkwabaegi,광장시장,꽈배기,長青
합,Hap,청담동,약과·떡,長青
미스리,Mies,인사동,한식디저트,長青
가문명가,Kamun-myeongga,전국,한과,長青
골든피스,Golden Piece,한남동,약과,轉型
자연도 소금빵,Jayeondo Sogeumppang,성수동,소금빵,轉型
아티스트 베이커리,Artist Bakery,안국,소금빵,轉型
누데이크,Nudake,성수동,흑임자케이크,轉型
소하염전,Soha Salt Pond,익선동,짭짤한디저트,轉型
도토리 가든,Dotori Garden,안국,도토리디저트,轉型
김씨부인,Kimssibooin,서래마을,궁중다과,轉型
금옥당,Geumokdang,전국,양갱,轉型
레인리포트,Rain Report,성수동,흑임자디저트,轉型
서울앵무새,Seoul Angmusae,성수동,계피롤·황후빵,轉型
노티드,Knotted,전국,도넛,轉型
레이어드,Cafe Layered,안국,스콘,轉型
라미스콘,Rami Scone,익선동,통곡물스콘,轉型
하이웨이스트,Cafe Highwaist,익선동,동물케이크,轉型
연리희재,Yeonlihuijae,전국,개성주악,轉型
